,blood_pressure,inter_beat,slope
0,"['100.11,103.12,103.97,104.73']","['106.0,112.0,114.0,118.0']",[2.414409213701058]
1,"['101.82,101.92,102.9,103.34']","['106.0,108.0,110.0,114.0']",[4.3441687195817265]
2,"['98.39,101.41,102.31,103.18']","['106.0,108.0,112.0,120.0']",[2.4634236639830207]
3,"['100.65,103.72,104.42,104.97']","['102.0,110.0,116.0,118.0']",[3.6224224726347307]
4,"['99.48,102.31,103.01,103.56']","['98.0,112.0,116.0,118.0']",[4.9696994264172565]
5,"['100.71,102.33,102.93,103.6']","['114.0,116.0,118.0,120.0']",[2.0232775131365375]
6,"['99.22,100.83,101.69,102.99']","['104.0,112.0,116.0,122.0']",[4.77382495975154]
7,"['100.17,102.06,102.72,104.08']","['104.0,110.0,116.0,120.0']",[4.226510717561346]
8,"['100.53,101.29,102.31,103.54']","['108.0,110.0,114.0,118.0']",[3.3934158917632335]
9,"['101.15,102.23,102.84,102.88']","['104.0,112.0,114.0,116.0']",[6.426340314404321]
10,"['99.73,101.11,101.88,102.75']","['106.0,108.0,110.0,114.0']",[2.5590881153266323]
11,"['100.64,101.77,102.5,103.69']","['108.0,110.0,114.0,118.0']",[3.4034074736714115]
12,"['99.58,100.65,101.44,102.3']","['106.0,108.0,112.0,114.0']",[3.097749407984369]
13,"['99.03,102.01,103.51,104.52']","['100.0,102.0,116.0,118.0']",[3.490185854872683]
14,"['98.54,102.24,103.53,104.54']","['106.0,110.0,114.0,116.0']",[1.6435674983013335]
15,"['101.91,105.01,106.52,107.72']","['102.0,108.0,110.0,116.0']",[2.2293161950466898]
16,"['99.03,102.31,103.69,104.81']","['102.0,110.0,114.0,116.0']",[2.4682831459719106]
17,"['98.25,101.05,102.48,103.77']","['102.0,110.0,114.0,118.0']",[2.8839397005230865]
18,"['100.18,103.31,104.18,104.97']","['102.0,108.0,110.0,116.0']",[2.6022361075389178]
19,"['100.88,103.74,104.95,105.48']","['98.0,112.0,116.0,118.0']",[4.373573073439439]
20,"['101.42,102.34,103.22,104.97']","['104.0,112.0,116.0,118.0']",[3.69715807846894]
21,"['102.4,102.73,103.54,104.4']","['104.0,108.0,116.0,118.0']",[7.078003982028877]
22,"['100.23,101.38,103.14,104.35']","['102.0,106.0,108.0,114.0']",[2.6412537735755124]
23,"['100.73,103.11,104.31,105.21']","['102.0,106.0,110.0,114.0']",[2.5905085465548496]
24,"['101.27,101.29,102.52,103.59']","['102.0,106.0,108.0,110.0']",[2.6817788103215583]
25,"['97.26,100.94,101.56,102.83']","['104.0,112.0,114.0,118.0']",[2.449192515449519]
26,"['98.46,101.02,102.56,103.59']","['104.0,108.0,110.0,112.0']",[1.5288548324706628]
27,"['101.72,103.47,104.47,105.51']","['104.0,106.0,110.0,120.0']",[3.957441494862628]
28,"['102.01,102.61,103.87,105.14']","['102.0,104.0,110.0,114.0']",[3.9443705072379167]
29,"['99.02,101.14,102.37,103.31']","['100.0,104.0,108.0,114.0']",[3.095104108047247]
30,"['101.36,102.9,103.66,104.49']","['108.0,110.0,112.0,114.0']",[1.9103095548413989]
31,"['100.05,101.18,102.46,103.89']","['102.0,110.0,112.0,114.0']",[2.9058372390285534]
32,"['98.57,101.1,102.33,103.65']","['104.0,108.0,112.0,114.0']",[2.029492341723301]
33,"['98.44,99.25,100.51,101.25']","['104.0,108.0,110.0,114.0']",[3.2278637803534425]
34,"['98.71,101.47,102.32,102.8']","['106.0,110.0,112.0,118.0']",[2.4189767478977093]
35,"['103.65,103.78,105.77,107.3']","['96.0,100.0,102.0,106.0']",[2.2165518600856386]
36,"['110.42,114.35,117.37,119.34']","['102.0,104.0,106.0,108.0']",[0.6573400023839058]
37,"['99.34,101.94,102.95,103.62']","['102.0,106.0,110.0,112.0']",[2.3003686155573186]
38,"['103.31,107.97,110.34,112.35']","['94.0,98.0,102.0,104.0']",[1.128566671895079]
39,"['108.64,109.75,112.24,114.76']","['90.0,94.0,100.0,104.0']",[2.2536006208488324]
40,"['100.05,103.71,104.53,105.32']","['108.0,110.0,112.0,114.0']",[1.0213811370005084]
41,"['98.79,102.66,103.72,104.68']","['104.0,108.0,110.0,112.0']",[1.302130475221439]
42,"['101.33,103.9,105.33,106.13']","['104.0,110.0,114.0,116.0']",[2.5086909293525634]
43,"['101.79,103.37,104.05,104.98']","['104.0,108.0,110.0,112.0']",[2.537385654047338]
44,"['119.5,123.28,126.87,128.46']","['96.0,98.0,102.0,104.0']",[0.9003037112414976]
45,"['109.0,109.5,110.57,112.68']","['108.0,110.0,116.0,120.0']",[3.265272924637188]
46,"['105.15,106.64,106.98,107.52']","['108.0,112.0,116.0,120.0']",[4.819082272084014]
47,"['101.3,104.53,105.29,106.12']","['102.0,110.0,116.0,118.0']",[3.330086174597237]
48,"['100.94,103.99,104.8,105.66']","['100.0,108.0,110.0,112.0']",[2.5591580792300883]
49,"['103.23,105.97,106.63,108.32']","['102.0,108.0,110.0,114.0']",[2.359178953669756]
50,"['103.9,104.97,105.64,106.27']","['100.0,102.0,104.0,106.0']",[2.52490831791771]
51,"['103.87,104.53,105.15,105.73']","['100.0,102.0,108.0,114.0']",[7.693907257225715]
52,"['98.59,101.81,103.18,104.7']","['102.0,108.0,110.0,114.0']",[1.912726914940711]
53,"['104.11,104.7,106.03,107.52']","['102.0,104.0,112.0,114.0']",[3.735690479640633]
54,"['102.91,103.83,104.6,106.14']","['100.0,104.0,108.0,116.0']",[4.99197717953292]
55,"['104.02,104.88,105.58,106.84']","['104.0,106.0,110.0,112.0']",[2.9756875997371997]
56,"['102.73,105.51,106.86,107.38']","['98.0,106.0,112.0,114.0']",[3.434004646368263]
57,"['102.55,102.76,103.8,104.7']","['106.0,108.0,110.0,118.0']",[5.040263204395714]
